canonical_concept,header_variant,target_field,variant_type,confidence_hint,source,active,notes
contract_effective_date,GROUP CONTRACT EFFECTIVE DATE,contractEffectiveDate,upper_exact,0.8,phase2_file_scan,true,
contract_effective_date,Liability Effective Date,contractEffectiveDate,title_case,0.8,mapping_export,true,
contract_name,Contract Name,contractName,title_case,0.8,phase2_file_scan,true,
contract_name,Contract_Name,contractName,underscore,0.8,phase2_file_scan,true,
contract_status,Contract Status,contractStatus,title_case,0.8,phase2_file_scan,true,
contract_status,Contract Status with Vendor,contractStatus,title_case,0.8,phase2_file_scan,true,
credentialing_affiliation,Hospital Affiliation 1,credentialingAffiliation,title_case,0.8,mapping_export,true,
credentialing_contact_email,Contact Email,credentialingContactEmail,title_case,0.95,learning_kb_correction,true,
credentialing_contact_email,credentialingContactEmail,credentialingContactEmail,exact,0.8,phase2_file_scan,true,
credentialing_\1ontact_\1irst_\1ame,Billing Contact Name,credentialingContactFirstName,title_case,0.85,phase2_v3_scan,true,
credentialing_\1ontact_\1irst_\1ame,Billing Contact Name (for new practice locations),credentialingContactFirstName,title_case,0.85,phase2_v3_scan,true,
credentialing_\1ontact_\1irst_\1ame,CONTACT NAME,credentialingContactFirstName,upper_exact,0.85,phase2_v3_scan,true,
credentialing_\1ontact_\1irst_\1ame,CONTACT_NAME,credentialingContactFirstName,underscore,0.85,phase2_v3_scan,true,
credentialing_contact_first_name,CRED_CONTACT_NAME,credentialingContactFirstName,underscore,0.70,phase2_file_scan,true,
credentialing_\1ontact_\1irst_\1ame,Credentialing Contact Name,credentialingContactFirstName,title_case,0.85,phase2_v3_scan,true,
credentialing_\1ontact_\1irst_\1ame,"Location Contact Name
REQUIRED",credentialingContactFirstName,title_case,0.85,phase2_v3_scan,true,
credentialing_\1ontact_\1irst_\1ame,MPAC_CRED_CONTACT_NM,credentialingContactFirstName,underscore,0.85,phase2_v3_scan,true,
credentialing_contact_first_name,Main Contact Name,credentialingContactFirstName,title_case,0.70,phase2_file_scan,true,
credentialing_\1ontact_\1irst_\1ame,Main Contact Name (Required),credentialingContactFirstName,title_case,0.85,phase2_v3_scan,true,
credentialing_\1ontact_\1irst_\1ame,contactName,credentialingContactFirstName,exact,0.85,phase2_v3_scan,true,
credentialing_\1tatus,App Status,credentialingStatus,title_case,0.80,v4_fix,true,
credentialing_\1tatus,AppStat,credentialingStatus,title_case,0.80,v4_fix,true,
credentialing_status,Cred Status,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_\1tatus,Credentialed Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_status,Credentialing Cycle,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_\1tatus,Credentialing Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_\1tatus,Credentialing Date to upload to platform,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_status,Credentialing Status,credentialingStatus,title_case,0.8,phase2_file_scan,true,
credentialing_status,Credentialing_Status,credentialingStatus,underscore,0.8,phase2_file_scan,true,
credentialing_status,Credentialing_Status_Message,credentialingStatus,underscore,0.8,phase2_file_scan,true,
credentialing_\1tatus,Inititial Cred Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_\1tatus,LHP Credentialing Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_\1tatus,Last Re-credentialing Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_\1tatus,Latest Credentialing Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_status,License Status,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 1,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 10,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 2,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 3,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 4,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 5,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 6,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 7,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 8,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License Status 9,credentialingStatus,title_case,0.70,phase2_file_scan,true,
credentialing_status,License_Status,credentialingStatus,underscore,0.70,phase2_file_scan,true,
credentialing_\1tatus,NWC_CUR_CRED_DT,credentialingStatus,underscore,0.85,phase2_v3_scan,true,
credentialing_\1tatus,Next Re-Credentialing Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
credentialing_\1tatus,Original Credentialing  Date,credentialingStatus,title_case,0.85,phase2_v3_scan,true,
