target_field,entity_scope,business_definition,positive_cues,negative_cues,common_confusions,field_type,format,pattern,enum_values,system_required,active
supervisingPractitionerProviderType,practitioner,Provider type of supervising practitioner,supervising;practitioner;provider;type,,,string,,,AA|ABA|ACNP|ACU|ADC|APN|APN-CNP|APRN|AT|ATR|AUD|BCaBA|BCBA|BSW|BT|CBHT|CDS|CNS|CP|CphT|CRNA|CSP|CSW|DC|DDS|DMD|DO|DPM|DT|EMT|GC|HOS|IBCLC|LBHC|LLMSW|LMFT|LMSW|LN|LP|LPC|LPCC|LPN|LPT|LVN|MA|MD|MFT|MT|M,False,true
supervisingPractitionerStateLicense,practitioner,State license of supervising practitioner,supervising;practitioner;state;license,,,string,,,,False,true
supervisingPractitionerStateLicenseNumber,practitioner,State license number of supervising practitioner,supervising;practitioner;state;license;number,,,string,,,,False,true
supervisingProviderType,practitioner,Type of supervising healthcare provider,supervising;provider;type,,,string,,,AA|ABA|ACNP|ACU|ADC|APN|APN-CNP|APRN|AT|ATR|AUD|BCaBA|BCBA|BSW|BT|CBHT|CDS|CNS|CP|CphT|CRNA|CSP|CSW|DC|DDS|DMD|DO|DPM|DT|EMT|GC|HOS|IBCLC|LBHC|LLMSW|LMFT|LMSW|LN|LP|LPC|LPCC|LPN|LPT|LVN|MA|MD|MFT|MT|M,False,true
telemedicineAvailable,practitioner,Indicates if telemedicine services are available,telemedicine;available,,,boolean,,,,False,true
telemedicineURL,practitioner,URL for telemedicine practitioners,telemedicine;url,,,string,uri,,,False,true
title,practitioner,Professional title,title,,,string,,,,False,true
udfAddressStatus,practitioner,Address status of the practitioner,[udf];address;status,,,string,,,,False,true
udfContractEffectiveDate,practitioner,Effective date for the contract,[udf];contract;effective;date;(yyyy-mm-dd),,,string,date,,,False,true
udfContractName,practitioner,Name of the contract,[udf];contract;name,,,string,,,,False,true
udfContractStatus,practitioner,Contracting status of the practitioner,[udf];contracting;status,,,string,,,,False,true
udfContractedThrough,practitioner,Indicates through whom/which entity the practitioner is contracted,[udf];contracted;through,,,string,,,,False,true
udfFlaggedAddress,practitioner,UDF field for flagged address,[udf];flagged;address,,,string,,,,False,true
udfFluorideVarnish,practitioner,Fluoride varnish status,[udf];fluoride;varnish,,,string,,,,False,true
udfFluorideVarnishVerifDate,practitioner,Fluoride varnish verification date,[udf];fluoride;varnish;verification;date;(yyyy-mm-dd),,,string,date,,,False,true
udfGroupEmployed,practitioner,Group employment status,[udf];group;employed,,,string,,,,False,true
udfHealthPlanSpecialty,practitioner,UDF field for TDI provider specialty,[udf];tdi;provider;specialty,,,string,,,,False,true
udfNameOnCard,practitioner,Name on card for practitioner location,[udf];name;card,,,string,,,,False,true
udfNetworkName,practitioner,Name of the network,[udf];network;name,,,string,,,,False,true
udfNewRecords,practitioner,UDF field for new records,[udf];new;records,,,string,,,,False,true
