target_field,entity_scope,business_definition,positive_cues,negative_cues,common_confusions,field_type,format,pattern,enum_values,system_required,active
locationUpdateDate,practitioner,Date when location information was updated,location;update;date;(yyyy-mm-dd),,,string,date,,,False,true
maximumEnrolleesCapacity,practitioner,Maximum enrollees capacity,maximum;enrollees;capacity,,,string,,,,False,true
medicaidId,practitioner,Practitioner's Medicaid identifier,medicaid,,,string,,"^[a-zA-Z0-9]{5,20}$",,False,true
medicaidState,practitioner,State of Medicaid ID,medicaid;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
medicareId,practitioner,Practitioner's Medicare identifier,medicare,,,string,,"^[a-zA-Z0-9]{5,20}$",,False,true
medicareState,practitioner,State of Medicare ID,medicare;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
middleName,practitioner,Provider's middle name,middle;name,,,string,,,,False,true
minimumEnrolleesCapacity,practitioner,Minimum enrollees capacity,minimum;enrollees;capacity,,,string,,,,False,true
modelOfCareTrainingCompleted,practitioner,Whether model of care training has been completed,model;care;training;completed,,,boolean,,,,False,true
networkEffectiveDate,practitioner,Effective Date of the network,network;effective;date,,,string,date,,,False,true
networkId,practitioner,Identifier for the network,network,,,string,,,,False,true
networkName,practitioner,Name of the network,network;name,,,string,,,,False,true
networkNpi,practitioner,National Provider Identifier for network,network;npi,,,string,,^\d{10}$,,False,true
networkPractitionerCredentialedDate,practitioner,Date when practitioner was credentialed in network,network;practitioner;credentialed;date;(yyyy-mm-dd),,,string,date,,,False,true
networkTermInformedDate,practitioner,Date when network termination was informed,network;termination;informed;date;(yyyy-mm-dd),,,string,date,,,False,true
networkTerminationReason,practitioner,Reason provided during termination of a practitioner from network,practitioner;termination;reason;from;network,,,string,,,,False,true
networkType,practitioner,Type of network,network;type,,,string,,,PPO|HMO|POS|EPO|HSA|HDHP|Other,False,true
nextCredentialingDate,practitioner,Date of the next credentialing due,next;credentialing;date;(yyyy-mm-dd),,,string,date,,,False,true
officeHours,practitioner,Office hours of the provider,office;hours,,,array,,,,False,true
panelStatus,practitioner,Panel status of the practitioner location,panel;status,,,string,,,Open Panel|Closed Panel|No Panel,False,true
payorName,practitioner,Name of the payor,payor;name,,,string,,,,False,true
pcp,practitioner,Indicates if provider is a Primary Care Physician,pcp,,,boolean,,,,False,true
pdmTransactionType,practitioner,Type of PDM transaction,pdm;transaction;type,,,string,,,Add to Plan|Add to Network|Add to Group|Add Role|Add Specialty|Add Location|Add Enrollment|Add Contract|Terminate from Network|Terminate from Group|Terminate from Location|Update Information,False,true
pdmTransactionTypeDescription,practitioner,Description of PDM transaction type,pdm;transaction;type;description,,,string,,,,False,true
pdmTransactionTypeEventDate,practitioner,Event date for PDM transaction type,pdm;transaction;type;event;date,,,string,date,,,False,true
penultimateCredentialingDate,practitioner,Date of the penultimate credentialing,penultimate;credentialing;date;(yyyy-mm-dd),,,string,date,,,False,true
planEffectiveDate,practitioner,The date when practitioner got effective with the plan,plan;effective;date;(yyyy-mm-dd),,,string,date,,,False,true
planName,practitioner,Name of the plan,plan;name,,,string,,,,False,true
practitionerAdditionalHospitalAffiliation,practitioner,Additional Hospital Affiliation,additional;hospital;affiliation,,,string,,,,False,true
practitionerAdditionalHospitalAffiliationAppointmentDate,practitioner,Additional Hospital Affiliation Appointment Date,additional;hospital;affiliation;appointment;date;(yyyy-mm-dd),,,string,date,,,False,true
practitionerAdditionalHospitalAffiliationAppointmentType,practitioner,Additional Hospital Affiliation Appointment Type,additional;hospital;affiliation;appointment;type,,,string,,,,False,true
practitionerAdditionalLanguage,practitioner,Additional Language spoken by provider,additional;provider;language,,,string,,,,False,true
practitionerCaqhAttestationDate,practitioner,Council for Affordable Quality Healthcare Attestation Date,caqh;attestation;date,,,string,date,,,False,true
practitionerCaqhId,practitioner,Council for Affordable Quality Healthcare ID,caqh,,,string,,^[A-Za-z0-9-]*$,,False,true
practitionerCloseTimeFri,practitioner,Friday closing time for practitioner,practitioner;close;time;friday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
practitionerCloseTimeMon,practitioner,Monday closing time for practitioner,practitioner;close;time;monday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
practitionerCloseTimeSat,practitioner,Saturday closing time for practitioner,practitioner;close;time;saturday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
practitionerCloseTimeSun,practitioner,Sunday closing time for practitioner,practitioner;close;time;sunday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
practitionerCloseTimeThu,practitioner,Thursday closing time for practitioner,practitioner;close;time;thursday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
practitionerCloseTimeTue,practitioner,Tuesday closing time for practitioner,practitioner;close;time;tuesday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
practitionerCloseTimeWed,practitioner,Wednesday closing time for practitioner,practitioner;close;time;wednesday,,,string,,^(0?[0-9]|1[0-9]|2[0-3]):[0-5][0-9]$,,False,true
practitionerControlledSubstanceExpirationDate,practitioner,Controlled Substance Expiration Date,controlled;substance;expiration;date;(yyyy-mm-dd),,,string,date,,,False,true
practitionerControlledSubstanceNumber,practitioner,Controlled Substance Number,controlled;substance;number,,,string,,,,False,true
practitionerControlledSubstanceNumberExempt,practitioner,Whether practitioner is exempt from controlled substance number requirements,practitioner;controlled;substance;number;exempt,,,string,,,,False,true
practitionerControlledSubstanceNumberExemptState,practitioner,State for controlled substance number exemption,practitioner;controlled;substance;number;exempt;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
practitionerControlledSubstanceNumberWaiver,practitioner,Whether practitioner has controlled substance number waiver,practitioner;controlled;substance;number;waiver,,,string,,,,False,true
practitionerControlledSubstanceNumberWaiverState,practitioner,State for controlled substance number waiver,practitioner;controlled;substance;number;waiver;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
practitionerControlledSubstanceState,practitioner,Controlled Substance Issuing State,controlled;substance;state,,,string,,,,False,true
practitionerDea,practitioner,Drug Enforcement Administration number,dea,,,string,,"^[A-Z][A-Z9]\d{7,8}$",,False,true
practitionerDeaExempt,practitioner,Whether practitioner is exempt from DEA requirements,practitioner;dea;exempt,,,string,,,,False,true
practitionerDeaExemptState,practitioner,State for DEA exemption,practitioner;dea;exempt;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
practitionerDeaExpirationDate,practitioner,DEA Expiration Date,dea;expiration;date;(yyyy-mm-dd),,,string,date,,,False,true
practitionerDeaState,practitioner,State for DEA registration,practitioner;dea;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
practitionerDeaWaiver,practitioner,Whether practitioner has DEA waiver,practitioner;dea;waiver,,,string,,,,False,true
practitionerDeaWaiverState,practitioner,State for DEA waiver,practitioner;dea;waiver;state,,,string,,,AK|AL|AR|AS|AZ|CA|CO|CT|DC|DE|FL|FM|GA|GU|HI|IA|ID|IL|IN|KS|KY|LA|MA|MD|ME|MH|MI|MN|MO|MP|MS|MT|NC|ND|NE|NH|NJ|NM|NV|NY|OH|OK|OR|PA|PR|PW|RI|SC|SD|TN|TX|UT|UM|VA|VI|VT|WA|WI|WV|WY,False,true
practitionerExternalId,practitioner,External identifier for practitioner,practitioner;external,,,string,,,,False,true
practitionerHospitalAffiliation,practitioner,Hospital affiliation of the practitioner,practitioner;hospital;affiliation,,,string,,,,False,true
practitionerHospitalAffiliationAppointmentDate,practitioner,Appointment date for hospital affiliation,practitioner;hospital;affiliation;appointment;date;(yyyy-mm-dd),,,string,date,,,False,true
practitionerHospitalAffiliationAppointmentType,practitioner,Appointment type for hospital affiliation,practitioner;hospital;affiliation;appointment;type,,,string,,,,False,true
